 Total leads: 6770510
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Great Tusk         | 11.01967% | 337541 |  4.985% | 
 | 2    | Glimmora           | 10.13454% | 685224 | 10.121% | 
 | 3    | Dragapult          |  6.37407% | 198037 |  2.925% | 
 | 4    | Rotom-Wash         |  6.16929% | 149440 |  2.207% | 
 | 5    | Garchomp           |  5.26997% | 235261 |  3.475% | 
 | 6    | Chi-Yu             |  5.16460% | 228596 |  3.376% | 
 | 7    | Iron Treads        |  5.10797% | 114309 |  1.688% | 
 | 8    | Garganacl          |  4.88745% | 120505 |  1.780% | 
 | 9    | Iron Valiant       |  4.69082% | 127393 |  1.882% | 
 | 10   | Ting-Lu            |  4.62619% | 236781 |  3.497% | 
 | 11   | Grimmsnarl         |  3.94642% | 362859 |  5.359% | 
 | 12   | Annihilape         |  3.57074% | 170913 |  2.524% | 
 | 13   | Chien-Pao          |  2.88388% | 131806 |  1.947% | 
 | 14   | Pelipper           |  2.02414% | 115085 |  1.700% | 
 | 15   | Meowscarada        |  1.87858% | 206230 |  3.046% | 
 | 16   | Gholdengo          |  1.82515% | 176599 |  2.608% | 
 | 17   | Torkoal            |  1.57184% | 205619 |  3.037% | 
 | 18   | Hatterene          |  1.36920% | 74897  |  1.106% | 
 | 19   | Roaring Moon       |  1.30781% | 88001  |  1.300% | 
 | 20   | Cyclizar           |  1.26870% | 351150 |  5.186% | 
 | 21   | Clodsire           |  1.19782% | 162979 |  2.407% | 
 | 22   | Breloom            |  1.16467% | 127078 |  1.877% | 
 | 23   | Corviknight        |  0.88307% | 61255  |  0.905% | 
 | 24   | Scizor             |  0.73947% | 77842  |  1.150% | 
 | 25   | Azumarill          |  0.72832% | 28580  |  0.422% | 
 | 26   | Alomomola          |  0.67554% | 2379   |  0.035% | 
 | 27   | Amoonguss          |  0.67508% | 36517  |  0.539% | 
 | 28   | Cinderace          |  0.58650% | 5289   |  0.078% | 
 | 29   | Sandy Shocks       |  0.49541% | 38742  |  0.572% | 
 | 30   | Toxapex            |  0.49177% | 33530  |  0.495% | 
 | 31   | Iron Moth          |  0.46284% | 46610  |  0.688% | 
 | 32   | Staraptor          |  0.38117% | 7906   |  0.117% | 
 | 33   | Tauros-Paldea-Fire |  0.37157% | 13525  |  0.200% | 
 | 34   | Dragonite          |  0.37020% | 41536  |  0.613% | 
 | 35   | Quaquaval          |  0.31680% | 100539 |  1.485% | 
 | 36   | Ceruledge          |  0.30691% | 45825  |  0.677% | 
 | 37   | Toedscruel         |  0.29151% | 24889  |  0.368% | 
 | 38   | Baxcalibur         |  0.27457% | 56845  |  0.840% | 
 | 39   | Slither Wing       |  0.25117% | 28195  |  0.416% | 
 | 40   | Masquerain         |  0.24784% | 82677  |  1.221% | 
 | 41   | Iron Hands         |  0.23610% | 33874  |  0.500% | 
 | 42   | Kingambit          |  0.22550% | 24212  |  0.358% | 
 | 43   | Skeledirge         |  0.22050% | 56775  |  0.839% | 
 | 44   | Mismagius          |  0.21978% | 1933   |  0.029% | 
 | 45   | Lokix              |  0.21486% | 77764  |  1.149% | 
 | 46   | Espeon             |  0.16312% | 27408  |  0.405% | 
 | 47   | Tyranitar          |  0.14793% | 32488  |  0.480% | 
